State,Labels,Assignees,Comments,Closed_At,Created_At,Locked
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,2,2023-03-17T08:13:50Z,2023-03-15T23:08:10Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,1,2023-03-16T01:58:22Z,2023-03-15T22:23:24Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 314954737, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3Mzc=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/resolution:%20invalid', 'name': 'resolution: invalid', 'color': 'b25a52', 'default': False, 'description': 'Issue or Request has no basis.'}]",0,6,2023-03-15T20:06:12Z,2023-03-15T20:03:37Z,False
closed,"[{'id': 4832896136, 'node_id': 'LA_kwDOAv1ihc8AAAABIBAkiA', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/build-pr-jar', 'name': 'build-pr-jar', 'color': '8713EA', 'default': False, 'description': 'Enables a workflow to build Paperclip jars on the pull request.'}]",0,2,2023-03-16T15:31:57Z,2023-03-15T19:31:03Z,False
closed,[],0,1,2023-03-16T15:32:05Z,2023-03-15T17:46:20Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,3,2023-03-16T16:33:11Z,2023-03-15T16:40:02Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,0,2023-03-16T18:47:08Z,2023-03-15T14:04:59Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,0,2023-03-16T00:07:25Z,2023-03-15T07:27:16Z,False
closed,[],1,0,2023-03-19T01:35:28Z,2023-03-15T04:24:38Z,False
open,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,0,,2023-03-15T03:55:08Z,False
closed,[],0,0,2023-03-15T14:37:41Z,2023-03-15T03:37:58Z,False
closed,[],0,0,2023-03-16T15:32:04Z,2023-03-15T03:14:31Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,1,2023-03-15T03:15:56Z,2023-03-15T02:38:26Z,False
closed,[],0,0,2023-03-14T20:27:18Z,2023-03-14T20:25:37Z,False
closed,[],0,1,2023-03-20T03:47:25Z,2023-03-14T19:35:01Z,True
closed,"[{'id': 316135203, 'node_id': 'MDU6TGFiZWwzMTYxMzUyMDM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20feature', 'name': 'type: feature', 'color': '75c2a2', 'default': False, 'description': 'Request for a new Feature.'}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,3,2023-03-13T21:11:27Z,2023-03-13T15:54:23Z,False
open,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,1,,2023-03-13T11:42:22Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 314954734, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzQ=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/resolution:%20duplicate', 'name': 'resolution: duplicate', 'color': 'b25a52', 'default': False, 'description': 'Issue or Request is a copy of an existing ticket.'}]",0,5,2023-03-12T19:42:08Z,2023-03-12T18:12:12Z,False
closed,"[{'id': 4832896136, 'node_id': 'LA_kwDOAv1ihc8AAAABIBAkiA', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/build-pr-jar', 'name': 'build-pr-jar', 'color': '8713EA', 'default': False, 'description': 'Enables a workflow to build Paperclip jars on the pull request.'}]",0,0,2023-03-12T18:00:03Z,2023-03-12T17:44:25Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 2296133455, 'node_id': 'MDU6TGFiZWwyMjk2MTMzNDU1', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20needs%20triage', 'name': 'status: needs triage', 'color': 'ffe0cb', 'default': False, 'description': ''}]",0,0,2023-03-12T18:00:04Z,2023-03-12T15:54:06Z,False
closed,[],0,0,2023-03-12T12:50:03Z,2023-03-12T12:45:38Z,False
closed,[],0,1,2023-03-12T12:40:36Z,2023-03-12T12:40:23Z,False
open,[],0,1,,2023-03-12T03:41:04Z,False
open,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,0,,2023-03-11T17:50:14Z,False
closed,[],0,1,2023-03-11T18:01:10Z,2023-03-11T17:45:20Z,False
open,"[{'id': 384371236, 'node_id': 'MDU6TGFiZWwzODQzNzEyMzY=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20blocked', 'name': 'status: blocked', 'color': 'e8e8b5', 'default': False, 'description': 'Issue or Request is waiting on some other issue or change.'}]",0,1,,2023-03-10T08:01:36Z,False
open,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,1,,2023-03-10T06:27:02Z,False
open,[],0,0,,2023-03-10T06:00:08Z,False
open,[],0,2,,2023-03-09T19:59:04Z,False
closed,"[{'id': 2133227401, 'node_id': 'MDU6TGFiZWwyMTMzMjI3NDAx', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/resolution:%20works-as-intended', 'name': 'resolution: works-as-intended', 'color': 'b25a52', 'default': False, 'description': 'Working as it should / expected to'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,1,2023-03-08T16:31:10Z,2023-03-08T16:23:03Z,False
open,"[{'id': 316135203, 'node_id': 'MDU6TGFiZWwzMTYxMzUyMDM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20feature', 'name': 'type: feature', 'color': '75c2a2', 'default': False, 'description': 'Request for a new Feature.'}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}]",0,3,,2023-03-08T15:44:19Z,False
open,[],0,2,,2023-03-07T12:46:46Z,False
open,"[{'id': 316135203, 'node_id': 'MDU6TGFiZWwzMTYxMzUyMDM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20feature', 'name': 'type: feature', 'color': '75c2a2', 'default': False, 'description': 'Request for a new Feature.'}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}]",0,0,,2023-03-07T11:47:05Z,False
open,[],0,3,,2023-03-06T22:26:50Z,False
closed,[],0,2,2023-03-06T20:28:19Z,2023-03-06T15:24:25Z,False
open,[],0,2,,2023-03-06T01:49:27Z,False
closed,[],0,0,2023-03-06T18:17:04Z,2023-03-05T22:51:52Z,False
closed,"[{'id': 314954733, 'node_id': 'MDU6TGFiZWwzMTQ5NTQ3MzM=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/type:%20bug', 'name': 'type: bug', 'color': '75c2a2', 'default': False, 'description': ""Something doesn't work as it was intended to.""}, {'id': 351723912, 'node_id': 'MDU6TGFiZWwzNTE3MjM5MTI=', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/status:%20accepted', 'name': 'status: accepted', 'color': 'e8e8b5', 'default': False, 'description': 'Disputed bug is accepted as valid or Feature accepted as desired to be added.'}, {'id': 4209696651, 'node_id': 'LA_kwDOAv1ihc766t-L', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/version:%201.19', 'name': 'version: 1.19', 'color': 'a49ebb', 'default': False, 'description': 'Game version 1.19'}]",0,1,2023-03-06T18:17:06Z,2023-03-05T22:42:50Z,False
open,[],0,2,,2023-03-05T22:08:09Z,False
closed,[],0,2,2023-03-06T00:45:05Z,2023-03-05T18:14:08Z,False
open,[],0,1,,2023-03-05T02:21:34Z,False
closed,"[{'id': 4832896136, 'node_id': 'LA_kwDOAv1ihc8AAAABIBAkiA', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/build-pr-jar', 'name': 'build-pr-jar', 'color': '8713EA', 'default': False, 'description': 'Enables a workflow to build Paperclip jars on the pull request.'}]",0,0,2023-03-06T23:15:25Z,2023-03-04T22:53:00Z,False
closed,"[{'id': 4832896136, 'node_id': 'LA_kwDOAv1ihc8AAAABIBAkiA', 'url': 'https://api.github.com/repos/PaperMC/Paper/labels/build-pr-jar', 'name': 'build-pr-jar', 'color': '8713EA', 'default': False, 'description': 'Enables a workflow to build Paperclip jars on the pull request.'}]",0,3,2023-03-07T00:20:12Z,2023-03-04T21:16:26Z,False
open,[],0,0,,2023-03-04T21:08:09Z,False
open,[],0,0,,2023-03-04T18:54:49Z,False
